,payer,denialreason,flowcharts
0,Humana,Invalid  or Missing HCPCS/DX/POS/MOD,"Claim denied due to Invalid or Missing HCPCS/DX/POS/MOD:

1. Review claim in software (Caretend/Payspan) to verify denial reason.

2. Check Waystar/Availity for EOB/claim processing status.

3. If EOB not found, call Humana customer service to inquire about claim status.

4. If claim is denied for:
   a. Invalid Diagnosis Code (IDX):
      - Verify diagnosis code in pharmacy work order/patient documents.
      - Check previous paid claims for same diagnosis code.
      - If valid diagnosis code found, task client to submit corrected claim.
      - Provide corrected claim information: mailing address, timely filing limit, and Payer ID.
   b. Missing/incomplete/invalid other diagnosis:
      - Review claim form for all diagnosis codes.
      - Check compounding records for diagnosis code consistency.
      - If incorrect diagnosis codes found, remove them and resubmit as corrected claim.
      - If no valid diagnosis code available, task client to submit corrected claim with valid DX.
   c. Invalid Procedure Code:
      - Verify HCPCS code in Availity fee schedule.
      - If HCPCS is listed, explain situation to representative and request reprocessing.
      - Provide case number for reprocessing if available.
   d. Incorrect POS:
      - Check delivery ticket to verify patient's address.
      - If services shipped to patient, change POS to 12 in software electronically.
      - Verify POS change in Waystar.
      - If still POS 11, task client to rebill with correct POS.

5. If claim is denied for multiple reasons, address each reason separately.

6. For corrected claims:
   - Submit electronically via software whenever possible.
   - If physical submission required, use corrected claim mailing address: P.O. Box 14601, Lexington KY 40512-4601.
   - Include Payer ID #61101 if applicable.
   - Timely filing limit is 1 year from the date of denial.

7. After submitting corrected claim:
   - Upload all relevant documents to Vital Systems.
   - Note the case number for reprocessing if applicable.
   - Allow 30 business days for reprocessing.

8. If claim is still denied after correction:
   - Review all available information again.
   - Consider appealing the denial if all information is correct.
   - Consult with a supervisor for complex cases.

9. Document all actions taken in the claim notes for future reference.

10. Set a follow-up date to check on the status of the corrected claim or appeal."
1,PPO One - United Healthcare Medicare PPO-AARP,Misrouted Claim,"Claim denied due to misrouted claim:

1. Review claim status in software
   - If claim billed to UHC, proceed to step 2
   - If claim not billed to UHC, investigate other payer

2. Check UHC portal to verify claim status
   - If claim denied, note denial reason and date
   - If claim not denied, check for other issues

3. Verify patient's plan in UHC eligibility portal
   - If plan is delegated to Wellmed, proceed to step 4
   - If plan is not delegated, investigate other options

4. Check for Wellmed-specific instructions
   - If Wellmed requests direct submission, proceed to step 7
   - If Wellmed asks for claim transfer explanation, provide explanation and submit to Wellmed

5. If claim transferred to Optum:
   - Call Optum (855-822-4325) to verify claim status
   - If claim processed and paid, adjust balance and close
   - If claim not processed, submit to Optum under payer ID #LIFE1

6. If claim transferred to other payer:
   - Research the correct payer and payer ID
   - Submit claim to the correct payer

7. Submit claim to Wellmed
   - Use payer ID #WELM2 or #TH023
   - Include valid KIT codes if applicable
   - Mark as fresh claim if previously denied

8. If payment received from incorrect payer:
   - Adjust balance according to contract
   - Notify appropriate parties of payment discrepancy

9. For recurring issues:
   - Document all steps taken
   - Consider implementing process changes to prevent misrouting
   - Consult with supervisor for further action

10. Follow up on claim status
    - Set appropriate timeframe based on payer's processing time
    - If claim not resolved, repeat process from step 1

11. If claim still denied after resubmission:
    - Review denial reason
    - Consider appeal process if appropriate
    - Consult with supervisor for further action

12. Document all actions taken in the claim notes
    - Include dates, representative names, and payer-specific instructions

13. If multiple attempts fail:
    - Escalate to specialized team or management
    - Consider contract negotiation with UHC or Wellmed

14. Implement training for team members on delegated plans and claim transfers

15. Regularly review and update process based on new information and payer changes"
2,Medicare for Denial - CGS Jurd C,Non-covered charges/Services,"Claim denied due to non-covered charges:

1. Review claim status in software
   - Check if claim has been billed to Medicare
   - Verify if denial has been received

2. Check EOB in Waystar
   - Confirm claim was processed and denied
   - Note the denial reason (Non-covered charges)
   - Verify if cross-over has been made to another payer

3. If cross-over made:
   - Identify the secondary payer
   - Check claim status with the secondary payer
   - If denied by secondary, verify if it's a Medicare Supplement plan
   - If Medicare Supplement plan, task client to bill patient or other active insurance

4. If no cross-over:
   - Check in software for other valid medical payers
   - Verify patient's insurance coverage
   - If found, proceed to step 5
   - If not found, proceed to step 7

5. For claims with identified secondary payer (e.g., BCBS, Humana, AARP Medicare Supplement):
   - Verify the secondary payer's plan type and eligibility
   - If active and appropriate, task client to bill claim to secondary payer
   - Provide necessary details:
     - TFL (timely filing limit)
     - Payer ID
     - Any required code changes (e.g., A to S codes)
   - If inactive, proceed to step 7

6. For claims with Medicare Supplement plans (e.g., AARP, Mutual of Omaha, Cigna):
   - Confirm the plan is active and Medicare-eligible
   - If eligible, task client to submit fresh claim as secondary to the Medicare Supplement plan
   - Note if prior authorization is required
   - If denied, plan to bill patient for non-covered services

7. If no valid secondary payer found:
   - Check BCBS portal for patient eligibility
   - Verify TFL for BCBS (usually 2 years from DOS for IN-Network providers, 1 year for OON providers)
   - Task client to create separate line for BCBS
   - Bill the claim to BCBS of appropriate state (e.g., AL, MS, TX, TN, VA, NM, KS)

8. For FEP (Federal Employee Program) plans:
   - Identify the specific FEP plan (e.g., BCBS of TN)
   - Verify eligibility in the BCBS portal
   - If active, task client to bill the claim to the FEP plan
   - Note any requirements for in-network vs. out-of-network submissions

9. If all above options exhausted:
   - Task client to bill the claim to the patient directly
   - Provide payment terms and any necessary documentation

10. For all scenarios:
    - Remember to upload any relevant documents to Vital Systems
    - Note processing time for future reference
    - Plan for potential appeal if necessary"
3,Aetna Medicare PPO Advantage Plan,Invalid  or Missing HCPCS/DX/POS/MOD,"Claim denied due to missing/incomplete/invalid principal diagnosis:

1. Review claim status in Caretend or relevant software.
2. Check Waystar EOB or Availity for denial reason and date.
3. Verify diagnosis code in Caretend, Waystar, and compounding records.
4. If diagnosis code is valid but still denied:
   a. Check previous invoices for payments with same or similar diagnosis codes.
   b. Call Aetna or relevant insurance provider to verify denial reason.
   c. Explain any discrepancies, such as previous payments for same diagnosis code.
5. If diagnosis code is invalid:
   a. Task claim to client for submission of corrected claim with valid diagnosis code.
   b. Provide instructions for valid diagnosis code to use (e.g., TFL 1 year from denial date).
6. If claim is denied due to incorrect place of service (POS):
   a. Verify patient's address and delivery information.
   b. Check previous claims for correct POS usage (e.g., POS 12 for successful claims).
   c. Resubmit corrected claim with appropriate POS.
7. If claim is denied due to missing authorization (AUTH):
   a. Verify if AUTH was billed along with the claim.
   b. Check Caretend or medical portal for AUTH presence.
   c. If AUTH is missing, send claim for internal review with proof of previous payment for similar services.
8. For persistent denials:
   a. Review all claim submissions with similar diagnosis codes.
   b. Identify any patterns in denial reasons.
   c. Consider appealing the denial with supporting documentation.
9. Document all actions taken in the claim notes:
   a. Include dates, representative names, and reference numbers.
   b. Note any suggested waiting periods for reprocessing.
10. Follow up on reprocessed claims:
    a. Allow 30-45 calendar days for reprocessing.
    b. If still denied, escalate to a supervisor or specialist.
11. If all attempts to resolve denial are unsuccessful:
    a. Consider writing off the claim as uncollectible.
    b. Document all denial attempts and reasons for future reference.
12. Maintain accurate records of all claim activities:
    a. Upload documents to Vital Systems or relevant storage.
    b. Update payment reports with diagnosis code information."
4,Humana,Duplicate of claim/service,"Claim denied as duplicate:

1. Review claim status in software (CareTend, Payspan, etc.)
   - Check for denial reason and details

2. Verify claim status in Waystar or Availity
   - Look for EOB or processing information

3. Check previous invoices or payment history
   - Verify if same service code was previously paid for overlapping dates

4. If claim is partially paid:
   a. Check for any underpayment or duplicate adjustment needed
   b. Task client to adjust balance as duplicate

5. If claim is fully denied as duplicate:
   a. Check for overlapping dates with previous claims
   b. Verify if secondary per diem is listed (e.g., S9500 SH, S9501)
   c. If secondary per diem, place adjustment form in path
   d. Task claim to client to adjust secondary per diem as it doesn't cover according to payer guidelines

6. For corrected claims:
   a. Verify corrected claim was sent with appropriate changes
   b. Call Humana if original claim was denied for invalid DX
   c. If refusal to re-review, task client to send corrected claim with appropriate DX or

7. If payment is received but not posted:
   a. Place EOB of paid claim and CA form on connect
   b. Request client to post payment in software
   c. Task client to adjust remaining balance as duplicate

8. For multiple drug deliveries:
   a. Check delivery ticket in software
   b. If multiple drugs delivered, task client for adjustment approval
   c. Adjust remaining balance as duplicate

9. For incorrect billing (e.g., billing two times for the same date):
   a. Place adjustment form in path
   b. Task claim to client to request duplicate adjustment

10. If denial is due to ""benefit included in previous payment"":
    a. Verify which service code was previously paid
    b. Task claim to client to adjust secondary per diem as it's not covered according to payer guidelines

11. For ""payment adjusted due to multiple services"" denials:
    a. Review invoice to verify which services were billed
    b. Task claim to client to adjust secondary per diem as it doesn't cover according to payer guidelines

12. If claim is still in process:
    a. Allow 30 calendar days for processing
    b. Follow up with Humana after 30 business days

13. For reprocessing requests:
    a. Call Humana to request reprocessing
    b. Allow 14-30 calendar days for reprocessing

14. If adjustment is needed:
    a. Place adjustment form in Connect or appropriate system
    b. Upload any necessary documents to Vital Systems

15. For all scenarios:
    a. Task client with specific instructions
    b. Document all actions taken in the claim notes"
5,PPO One - United Healthcare Medicare PPO-AARP,Invalid  or Missing HCPCS/DX/POS/MOD,"Claim denied due to Invalid Procedure Code (IPC):

1. Review claim status in software (Waystar/Payspan).
2. Check UHC Provider Portal to verify claim status and denial reason.
3. If claim is processed and denied as IPC:
   a. Check for previous claims with same code that received payment.
   b. If previous claim paid, call UHC to inform about denial and previous payment.
   c. Allow additional processing time for manual review (30 calendar days).
4. If no previous claim found or payment not received:
   a. Call UHC (877-842-3210) to inquire about denial.
   b. Verify if Medicare guidelines are being followed.
   c. If Medicare guidelines confirmed:
      i. Task client to submit corrected claim with appropriate Procedure Code.
      ii. Provide specific instructions for correcting the claim (e.g., change HCPCS code, update POS).
   d. If Medicare guidelines not confirmed:
      i. Escalate to supervisor for further review.
      ii. Consider filing an appeal.
5. If claim was previously sent for reprocessing:
   a. Check reprocessing status with UHC.
   b. If reprocess upheld, proceed to step 4.
   c. If reprocess denied, consider appealing the denial.
6. If nursing notes are required for appeal:
   a. Task client to obtain valid nursing notes.
   b. Prepare appeal documents (include EOB, medical records, and nursing notes).
   c. Mail appeal to: PO Box 30559, Salt Lake City, UT 84130-0575.
   d. Upload appeal documents to Vital Systems for record-keeping.
7. If corrected claim or appeal is submitted:
   a. Check claim status regularly in software and UHC portal.
   b. Allow 30-60 days for processing after resubmission or appeal filing.
8. If payment is received:
   a. Verify payment amount against UHC contract.
   b. If underpaid, submit appeal with contract sheet to process payment correctly.
   c. Task client to post payment in software once appeal status is received.
9. If denial persists after multiple attempts:
   a. Consult with Coding department to determine correct HCPCS code.
   b. Resubmit claim with corrected code.
10. For claims with incorrect POS:
    a. Analyze delivery method (drug delivered to home or office).
    b. Correct POS in software (e.g., change from 11 to 12 for home delivery).
    c. Resubmit claim as corrected.
11. If appeal timeline is approaching (typically 365 days from denial date):
    a. Expedite claim resolution or appeal process.
    b. Consider alternative methods for resolving denial (e.g., submitting pricing sheet).
12. Document all actions taken in the claim notes for future reference."
6,Humana,Referral issue,"Claim denied due to absent referral:

1. Review claim in CareTend/Caretend to check denial status.

2. Check EOB in Waystar for claim processing status and denial reason.

3. Verify PCP information in Availity:
   - If found, note PCP name, address, and contact number.
   - If not found, cross-check with previous invoices or call references.

4. If PCP information is available:
   a. Task claim to client to resubmit as corrected claim with PCP Referral.
   b. Provide corrected claim mailing address: P.O. Box 14601, Lexington KY 40512-4601.
   c. Note timely filing limit: 1 year from the date of denial.
   d. Include Payer ID: 61101.

5. If PCP information is not available:
   a. Call Humana/insurance carrier to inquire about denial reason.
   b. Verify if claim was denied for PCP referral required.
   c. Ask for PCP name and contact information (if available).
   d. If PCP information is still not available, task claim to client to obtain valid referral.

6. For claims with paid history for the same code:
   a. Inform representative about previous payment.
   b. Request claim to be sent back for reprocessing.
   c. Note the case number for reprocessing.

7. If denial persists:
   a. Prepare corrected claim with valid PCP referral information.
   b. Submit corrected claim within the timely filing limit.
   c. Upload all relevant documents to Vital Systems for record-keeping.

8. Follow up:
   a. Set a reminder to check claim status after 14-30 calendar days.
   b. If claim is not reprocessed, consider appealing the decision.

9. Special scenario: For Eastern Texas members where referral is not required:
   a. Inform representative about the exception.
   b. Request claim to be sent back for reprocessing under a specific case number.
   c. Note the case number for reprocessing.

10. General procedure:
    a. If valid referral information is obtained, resubmit the claim.
    b. If referral information is still missing after multiple attempts, consider appealing the denial.
    c. Document all actions taken in the claim notes for future reference."
7,PPO One - United Healthcare Medicare PPO-AARP,Non-covered charges/Services,"Claim denied due to non-covered charges:

1. Review claim status in software (Caretend/Payspan).
2. Check UHC portal to verify claim status and denial reason.
3. If claim is processed and denied:
   a. Note the denial date and reason.
   b. Check if claim was sent to correct payer for processing.
4. If claim was sent to correct payer for processing:
   a. Call UHC to confirm denial and advice to send claim to Optum Rx.
   b. Inform UHC representative that billed procedure codes are perdiems used to infuse drugs, which may not be covered by Optum Rx.
   c. Request reprocessing with 30 calendar days turnaround time.
5. If claim was not sent to correct payer for processing:
   a. Check Patient Insurance policy to verify coverage type (Medicare PPO, Dual Complete, etc.).
   b. Check eligibility in UHC portal for OptumRX or other pharmacy plans.
   c. If OptumRX is active for the DOS, task client to bill drug codes to OptumRX.
   d. If other pharmacy plan is active, follow steps similar to c.
6. If claim is still under review:
   a. Explain that few claims are under review for the same date.
   b. Allow 15 more days for processing.
7. If claim was previously denied and sent back for reprocessing:
   a. Check if reprocessing was accepted or upheld.
   b. If reprocessing was upheld, proceed to step 4.
   c. If reprocessing was accepted, allow 30 calendar days for processing.
8. If claim has invalid or incorrect codes:
   a. Task client to send corrected claim with valid codes as per Medicare guidelines.
   b. Provide guidance on corrected claim submission (if applicable).
9. If claim has taxonomy issues:
   a. Check if taxonomy has been changed in software.
   b. If yes, resubmit claim with corrected taxonomy.
   c. If no, task client to change taxonomy and resubmit claim.
10. If all attempts to reprocess or appeal are unsuccessful:
    a. Task client for further clarification.
    b. Request additional information from client (e.g., clinical records for appeal).
11. For claims with partial payments:
    a. Verify payment details in UHC webportal or EOB.
    b. Task client to post offset payment information.
    c. Bill remaining procedure codes to appropriate payer.
12. For claims with multiple denials:
    a. Review all denial reasons.
    b. Take appropriate action based on most common reason.
    c. Consider escalating to supervisor for complex cases.
13. Document all actions taken in claim notes:
    a. Include date, representative name, and details of conversation.
    b. Note any reference numbers provided by payer.
14. Set a follow-up date based on expected processing time:
    a. 30 calendar days for reprocessing
    b. 60-90 days for initial claim submission
    c. 180 days for corrected claim submission
15. If no response is received within set follow-up date:
    a. Call payer for status update
    b. Consider filing appeal if appropriate"
8,Blue Cross of Alabama,Non-covered charges/Services,"Claim denied due to potential coverage by another payer:

1. Review claim status in software (Care Tend/Caretend/Payspan).
2. Check EOB in Waystar for denial reason.
3. Verify patient's insurance coverage in:
   a. BCBS of Alabama Webportal
   b. Patient Insurance policies
   c. Availity
4. If Medicare is primary:
   a. Check Medicare eligibility in Availity
   b. Verify Medicare coverage in BCBS AL provider's Portal
   c. Task client to bill claim to Medicare with appropriate Medicare guideline code
5. If Medicare is not primary or claim was denied by Medicare:
   a. Verify if claim was billed to Medicare
   b. If not billed to Medicare, task client to bill claim to Medicare for Denial - CGS Jurisdiction C with valid kit code and payer ID
   c. Provide guidance for submitting fresh claim: Timely Filing Limit (TFL) is 1 year from DOS or further assistance needed
6. For claims denied as ""Payment is included in the allowance for another service/procedure"":
   a. Check fees schedule in Availity
   b. Verify if HCPCS code is inclusive with another service/procedure
   c. Adjust remaining balance as Inclusive adjustment
   d. If necessary, process patient responsibility as Co-payment
7. For claims denied as ""Non-covered charge(s)/Not covered under patient's current benefit plan"":
   a. Call Blue Cross of Alabama to confirm denial reason
   b. Verify if service is covered under any other insurance
   c. If no other coverage, task client to bill patient for non-covered charges
   d. If other coverage exists, proceed with step 4 or 5 accordingly
8. For claims denied due to incorrect provider information:
   a. Check edit claim for provider details
   b. If provider is incorrect, task client to submit corrected claim with correct provider ZIP code
9. For claims denied due to invalid procedure code:
   a. Verify previous paid claims for similar services
   b. If valid HCPCS code exists, submit corrected claim with new HCPCS
   c. If no valid HCPCS, task client to submit corrected claim following Medicare guidelines
10. For claims denied as ""Maximum units exceeded"":
    a. Verify allowed units in Availity
    b. Adjust claim as Maximum units exceeded
11. If claim was previously paid for part of the services:
    a. Place CA form on Connect to request client adjustment
    b. Task client to adjust remaining balance as Duplicate of claim/service
12. For nursing service claims denied by Medicare:
    a. Verify Medicare didn't process payment for nursing service
    b. Obtain non-covered denial and transfer to secondary BCBS of AL
13. If claim is still pending after appropriate actions:
    a. Request internal review
    b. Follow up after 30 days if no resolution
14. For all scenarios:
    a. Document all actions taken in claim notes
    b. Update claim status in software
    c. Set follow-up date if additional action is needed"
9,PPO One - United Healthcare Medicare Dual Complete,Misrouted Claim,"Claim denied due to misrouted claim:

1. Review claim status in software
   - Check if claim has been billed to UHC
   - Verify if denial has been received

2. Check claim status in UHC portal
   - Confirm claim has been denied
   - Note the date of denial
   - Verify if claim has been transferred to another payer (Wellmed)

3. If claim transferred to Wellmed:
   a. Call Wellmed to inquire about claim transfer
      - Speak with representative (e.g., Dennis B)
      - Confirm that transfer of claims from UHC won't happen all the time
      - Request to submit claim directly to Wellmed
   b. Task client to submit claim to Wellmed
      - Provide payer ID# WELM2
      - Instruct to use correct KIT code if applicable (e.g., WELM2, TH023)

4. If claim not transferred to Wellmed:
   a. Check eligibility in UHC portal
      - Verify if patient's plan is delegated to Wellmed
   b. If delegated plan to Wellmed:
      - Follow steps 3.a and 3.b
   c. If not delegated plan:
      - Investigate other possible issues (e.g., incorrect patient information, missing documentation)
      - Proceed with appropriate resolution

5. For all cases where claim is being submitted to Wellmed:
   a. Ensure patient's eligibility is verified
   b. If patient is active, no separate eligibility check is needed for Wellmed
   c. Provide clear instructions to the client on how to submit the claim

6. If claim still needs to be processed through UHC:
   a. Review previous notes to determine if any special instructions apply
   b. If all claims for the patient need to be submitted to Wellmed, task client accordingly
   c. Provide specific payer ID and any necessary KIT code information

7. In all cases:
   a. Document all actions taken in the claim notes
   b. Update the software with the correct next steps
   c. Set appropriate follow-up dates for claim status checks

8. If further action is needed (e.g., requesting documentation, updating patient information):
   a. Identify the specific action required
   b. Task the appropriate team member or department
   c. Set a deadline for completion of the task

9. Monitor claim status after resubmission
   a. Check for processing and payment
   b. If claim is denied again, review new reason for denial and restart process if necessary

10. For recurring issues or patterns:
    a. Identify the root cause
    b. Develop and implement a solution or process improvement
    c. Communicate changes to the team and document in relevant procedures"
